"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm30821",3.92221156824632e-279,3.84939842655992,0.513,0.054,7.52633177830787e-275
"Cmss1",4.54622149315232e-257,3.42569941841402,0.731,0.25,8.72374442320998e-253
"Camk1d",8.09283770601764e-227,3.31972057089546,0.818,0.392,1.55293462740773e-222
"Cdk8",6.03165282996107e-212,3.02854841550867,0.603,0.157,1.15741386154123e-207
"Gm26917",1.58903843891255e-201,2.28755765799676,0.999,0.984,3.0492058604293e-197
"Gm46178",7.71956893699273e-185,3.38364511419124,0.465,0.085,1.48130808331953e-180
"Wfdc18",1.4119136446705e-155,2.22089813814102,0.356,0.053,2.70932109275823e-151
"Ifi27l2a",3.60647816760261e-150,1.61010813191937,0.939,0.765,6.92047095581265e-146
"Lars2",1.53471973943531e-147,2.60119040160343,0.746,0.408,2.94497370800242e-143
"Gphn",8.15734728568827e-145,2.55071194205487,0.645,0.263,1.56531337065072e-140
"Gm15564",2.99589236903414e-144,2.52843835818109,0.4,0.079,5.74881786693961e-140
"Mir6236",1.88646377150859e-138,2.78072547782843,0.473,0.126,3.61993533114783e-134
"Tmem176a",1.88245895249291e-102,1.96999119058565,0.629,0.333,3.61225048393864e-98
"Il31ra",8.84513779950883e-87,2.61897389769663,0.262,0.054,1.69729349234775e-82
"Tmem176b",7.44749203633622e-85,1.76287304286164,0.607,0.333,1.42909924685256e-80
"Prol1",4.21265387441991e-84,0.414077774968804,0.998,0.999,8.08366151962436e-80
"Rplp1",1.10651448103566e-80,0.624909866847985,0.999,0.99,2.12329063765932e-76
"Hexb",8.60582422811191e-78,1.99339543374834,0.403,0.153,1.65137161113239e-73
"Rpl41",8.22407597900189e-75,0.627297963081532,0.996,0.98,1.57811793961067e-70
"Rn7sk",3.13219759871442e-72,1.93708779510035,0.408,0.161,6.01037397217311e-68
"Arl4a",7.85022529092356e-71,2.02369598640054,0.285,0.081,1.50637973107532e-66
"Dcpp1",5.1913919265645e-60,0.941092957530591,0.359,0.152,9.96176196788462e-56
"H2aj",1.71429113300187e-56,0.616770193909053,0.94,0.824,3.28955325511728e-52
"Pnrc1",1.24015005316716e-55,1.56056173353307,0.341,0.137,2.37972393702246e-51
"Dcpp3",2.78271604207511e-46,1.23295416525668,0.397,0.212,5.33975381313793e-42
"Rps29",3.6871565643023e-41,0.52604769960781,0.951,0.912,7.07528473123969e-37
"Calm1",8.81794872512739e-41,0.633740980012977,0.813,0.69,1.6920761808647e-36
"Dcpp2",1.01227639658392e-36,1.15234817380696,0.432,0.27,1.94245717740489e-32
"Rps20",3.3713832045077e-35,0.421207900678369,0.987,0.983,6.46934723112982e-31
"Rpsa",4.72765891759456e-33,0.489170923507783,0.971,0.936,9.07190469697221e-29
"Rpl38",3.76655875326139e-32,0.524111354736027,0.895,0.826,7.22764959163329e-28
"Atp5f1e",4.57290167279913e-32,0.565669700148375,0.822,0.719,8.77494101993425e-28
"Uba52",4.46365050380821e-31,0.392894584424162,0.997,0.994,8.56529895175757e-27
"Rps19",2.4387742056231e-30,0.484166875121659,0.949,0.918,4.67976382317017e-26
"Pgp",2.0508411072745e-29,0.747953471633821,0.513,0.335,3.93535900074904e-25
"H2bc4",3.26536789714393e-29,0.816637546461204,0.463,0.292,6.26591445782949e-25
"Dnah11",5.9530394268626e-29,1.42871654574665,0.264,0.128,1.14232873562066e-24
"H2-K1",9.65045080618659e-29,1.30426979250346,0.409,0.258,1.85182500519915e-24
"2310057J18Rik",1.05043092621588e-28,2.01487864544413,0.321,0.177,2.01567190431565e-24
"Sec11c",2.23876989693085e-27,0.325940833987524,0.962,0.927,4.29597555522061e-23
"ATP8",6.95450059003042e-27,1.03609638507721,0.696,0.562,1.33449911822094e-22
"Rab27b",8.05038764911501e-27,1.06258536635295,0.301,0.16,1.54478888598868e-22
"Son",1.56246405095538e-26,1.00893212221511,0.403,0.249,2.99821226737828e-22
"Rplp0",1.63991225621849e-26,0.38233113995477,0.996,0.994,3.14682762845767e-22
"Rpl35",9.9257461824109e-26,0.375221610117457,0.978,0.973,1.90465143494283e-21
"mt-Rnr1",1.29872128028986e-25,1.29034353829365,0.85,0.743,2.49211626474821e-21
"Rpl35a",2.11985509431978e-25,0.390088224372495,0.927,0.881,4.06778994049023e-21
"Mydgf",4.27122487871555e-24,0.698502054900292,0.446,0.287,8.19605341976726e-20
"Rpl37a",7.07827027065887e-24,0.4492348343863,0.962,0.943,1.35824928223673e-19
"Rps8",1.45637038835538e-22,0.333223655847467,0.962,0.935,2.79462913821514e-18
"Mif",3.0416110372862e-22,0.663669772848434,0.375,0.229,5.83654741944849e-18
"Selenom",3.6700103665795e-22,0.845504354944343,0.34,0.202,7.0423828924294e-18
"Tesc",1.29696636663276e-21,0.408058403993107,0.822,0.718,2.4887487609316e-17
"Rps23",1.75346153153258e-21,0.304406912339768,0.987,0.976,3.36471733285787e-17
"Rpl13",1.86467879432928e-20,0.334353144366202,0.98,0.976,3.57813213843845e-16
"Rps5",2.473333965205e-20,0.375249235486042,0.956,0.95,4.74608054583187e-16
"Ier3ip1",3.6430172285245e-20,0.794239817226756,0.285,0.161,6.99058575981566e-16
"Rpl37",4.48893115934561e-20,0.396723839115063,0.949,0.92,8.61381000166828e-16
"Nucb2",7.63842400325432e-20,0.53193520995914,0.647,0.523,1.46573718198447e-15
"Reep5",1.2236096684892e-19,0.280254513339167,0.968,0.949,2.34798459286393e-15
"Cald1",4.10183440347956e-19,0.849694148901561,0.4,0.274,7.87101003683693e-15
"Crlf1",6.81259067252231e-19,0.527998849219391,0.529,0.385,1.30726802415031e-14
"Stk11",9.7943309605628e-19,0.632361633995818,0.379,0.242,1.8794341680224e-14
"Clec2d",1.54287504110509e-18,0.849795138552046,0.564,0.452,2.96062291637655e-14
