"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Wfdc18",4.2779807424831e-217,1.44532440103624,0.37,0.053,8.20901724675083e-213
"Mup5",1.94492417656455e-195,1.94191303569974,0.77,0.48,3.73211500240972e-191
"Arl4a",1.51594208153122e-139,2.34731186819433,0.328,0.081,2.90894126025027e-135
"Exoc4",1.88300752637912e-101,2.12243164815839,0.341,0.127,3.61330314236889e-97
"Clec2d",9.20659466963636e-83,1.1605760828777,0.647,0.452,1.76665345115652e-78
"Pnrc1",2.00444382393054e-81,1.68930150814992,0.33,0.137,3.84632725374032e-77
"Ifi27l2a",3.34854615700801e-57,0.66140582709233,0.878,0.765,6.42552522068268e-53
"Rab27b",1.31744659236242e-55,1.2307483193848,0.321,0.16,2.52804826608425e-51
"Slc23a2",2.3788401853333e-55,1.39114869876247,0.285,0.131,4.56475643163607e-51
"H2aj",3.03268520759862e-52,0.517234476401242,0.903,0.824,5.819419644861e-48
"Eif4g3",3.16019278715517e-51,1.58311606295931,0.252,0.113,6.06409393927205e-47
"Esrrg",2.95578926065401e-46,1.10595081736455,0.652,0.537,5.67186401226898e-42
"Dcpp1",5.40114683291115e-44,0.565533770240497,0.287,0.152,1.03642606576732e-39
"Phlda1",1.53281742664502e-41,0.600498539978355,0.88,0.849,2.94132335998912e-37
"Cmss1",4.63159675980876e-41,2.45906812325868,0.385,0.25,8.88757102239703e-37
"Gne",7.6937078816277e-41,0.784371309221762,0.634,0.513,1.47634560540554e-36
"Pde4b",2.32793781197369e-40,1.13944117965922,0.397,0.263,4.46707986739631e-36
"Tmem176b",2.45752670601285e-38,0.848126492990384,0.475,0.333,4.71574799616806e-34
"Agt",1.35618968968569e-35,0.45322806335958,0.82,0.72,2.60239239553788e-31
"Tcn2",4.60744401599849e-34,0.497739898879164,0.662,0.528,8.8412243222995e-30
"Ehf",4.55568495900517e-32,0.894663003479108,0.37,0.245,8.74190386783502e-28
"Tmem176a",3.04561853140696e-28,0.769746205005972,0.451,0.333,5.84423739991682e-24
"Rps19",1.94810257696953e-27,0.337797891032183,0.945,0.918,3.73821403494683e-23
"Etv6",3.05770889338683e-26,0.982354156512355,0.265,0.163,5.86743759551999e-22
"Cdk8",1.84562828450508e-25,1.20406298469339,0.258,0.157,3.5415761151368e-21
"Palmd",3.00767679402152e-25,0.866883505254906,0.4,0.297,5.77143100004789e-21
"St3gal1",2.72650297297838e-24,0.527808218184096,0.811,0.762,5.23188655484821e-20
"Tacc2",1.02426591493192e-23,1.02813347527324,0.426,0.333,1.96546386416286e-19
"H2bc4",1.28080009088573e-23,0.693026060529683,0.4,0.292,2.45772729440062e-19
"Pik3r1",6.58851352341641e-23,0.893496687413157,0.314,0.215,1.26426986000837e-18
"Rpl13a",2.66497417245721e-21,0.399293495734291,0.68,0.587,5.11381893952815e-17
"Neat1",2.75886525761366e-21,0.862163389563744,0.593,0.528,5.29398654283485e-17
"Atp2a3",6.53911385769655e-21,0.532107951401809,0.592,0.498,1.25479055815339e-16
"Dbi",1.09509140405795e-20,0.552412766831981,0.504,0.409,2.1013708952468e-16
"Tubb4b",6.85408255968775e-19,0.789947945068636,0.251,0.167,1.31522990237848e-14
"Stox2",1.33705971624343e-18,0.959358992021674,0.298,0.216,2.56568388949951e-14
"Tuba4a",2.67924335342204e-18,0.73000918812737,0.256,0.17,5.14120007088155e-14
"ND1",4.97663003780645e-18,0.750368607207359,0.9,0.891,9.5496553795468e-14
"Rrbp1",1.2188865865963e-16,0.426289161606199,0.804,0.773,2.33892147101965e-12
"Adcy8",2.16729186511705e-16,0.752725954811471,0.348,0.267,4.15881635997312e-12
"Calm2",3.2533651267434e-16,0.317274217429252,0.754,0.699,6.24288234170792e-12
"Cald1",2.20310683835785e-15,0.705141318743987,0.352,0.274,4.22754171212487e-11
"Chrm3",2.55749517429314e-15,0.60732587561267,0.605,0.534,4.9075774899511e-11
"Stk11",1.2403096566514e-14,0.553652569563571,0.322,0.242,2.38003020014836e-10
"Rsrp1",1.71627557772963e-14,0.634199223463547,0.379,0.302,3.29336120610538e-10
"Pbx1",2.28619044830522e-14,0.658011018819973,0.387,0.315,4.38697085125289e-10
"Lars2",1.17153412497472e-13,0.82577078569798,0.483,0.408,2.24805683241399e-09
"Airn",1.58994445134552e-13,0.80123636082786,0.266,0.198,3.05094440768692e-09
"Dstn",1.89712521661017e-13,0.403290110308698,0.536,0.457,3.64039357815326e-09
"Srrm2",3.19707375579783e-13,0.668027531315324,0.331,0.259,6.13486483000045e-09
"Map3k1",1.13333757493869e-12,0.831361849168648,0.264,0.198,2.17476147254986e-08
"Cd24a",2.48210883822612e-12,0.421625694840117,0.467,0.401,4.7629186496721e-08
"Ank3",4.98058124125626e-12,0.72211465549454,0.284,0.219,9.55723734384663e-08
"Actb",6.04133299482865e-12,0.653857713454459,0.477,0.431,1.15927138837767e-07
"Gde1",7.8627593764783e-12,0.456305780507764,0.394,0.317,1.50878489675242e-07
"Cd9",9.37904170944235e-12,0.301066879987017,0.74,0.708,1.79974431362489e-07
"Pgp",1.5660787923892e-11,0.403659192394297,0.409,0.335,3.00514859471564e-07
"Camk1d",2.1897564746066e-11,1.23785288449425,0.455,0.392,4.2019236991226e-07
"Gphn",2.31117138054325e-11,0.717280225929289,0.332,0.263,4.43490676212445e-07
"Ncald",8.05089964493749e-11,0.42617865164232,0.637,0.582,1.54488713286705e-06
"Fabp5",9.25133101686558e-11,0.438832321656807,0.739,0.714,1.77523790882634e-06
"Zbtb20",1.11671305829236e-10,0.567201333256125,0.616,0.575,2.1428606875572e-06
"Ddx5",1.42885097604953e-10,0.619533836281795,0.435,0.38,2.74182213794145e-06
"Tshz2",1.59573134171021e-10,0.614819709608984,0.359,0.298,3.06204887160773e-06
"H2-K1",4.08343249175185e-10,0.570583967429706,0.319,0.258,7.83569860842262e-06
"Btg2",5.11155971306329e-10,0.697225518610305,0.551,0.489,9.80857193339715e-06
"Foxp1",6.21411146277371e-10,0.724157202639334,0.339,0.286,1.19242584859165e-05
"Rps12",6.36607972936315e-10,0.320292910120968,0.771,0.732,1.2215870392675e-05
"Arhgap5",6.3956557887562e-10,0.659704481036258,0.272,0.214,1.22726238930443e-05
"Ivns1abp",6.1555320442584e-09,0.5428512443783,0.326,0.269,0.000118118504397275
"Ptprk",7.11521052917945e-09,0.602758935930388,0.262,0.207,0.000136533774844424
"Fndc3b",1.29246511569034e-08,0.625676179756057,0.273,0.221,0.00024801113104982
"Pabpn1",1.47523162233828e-08,0.493839900083232,0.274,0.217,0.000283082196010493
"St3gal4",2.0331297130916e-08,0.38994230101092,0.887,0.892,0.000390137260645148
"Cebpb",1.40528146940496e-07,0.531127030589077,0.288,0.237,0.00269659461164119
"ND5",1.63548416276567e-07,0.555469258302511,0.782,0.769,0.00313833055993104
"Gpcpd1",2.18863250450673e-07,0.670313228439938,0.298,0.25,0.00419976691289796
"Ubc",4.24147819867999e-07,0.323393755306997,0.668,0.624,0.00813897251544703
"Pigr",5.49679036858175e-07,0.360156842555831,0.585,0.545,0.0105477910382715
"Gm57537",9.49278199663468e-07,0.512319320690892,0.314,0.268,0.0182156993733423
"Elmo1",1.13800598204824e-06,0.531222104235089,0.259,0.215,0.0218371967895236
"Chst9",2.1522390750482e-06,0.441998538607299,0.316,0.27,0.0412993156110998
