"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cmss1",0,3.95837179698594,0.717,0.25,0
"Wfdc18",0,3.22140962176968,0.482,0.053,0
"Rps29",1.28457067918724e-322,1.14443891587764,0.994,0.912,2.4649626762924e-318
"Rrbp1",1.10590074275579e-312,1.36484214123847,0.961,0.773,2.12211293527408e-308
"Malat1",1.08731709305921e-291,1.64455861909539,0.963,0.921,2.08645276987133e-287
"Camk1d",1.69590987623807e-286,3.4769421711901,0.757,0.392,3.25428146151324e-282
"Lars2",2.00716145494488e-281,2.56275935387113,0.793,0.408,3.85154211589374e-277
"Rpl13a",5.86645983243447e-280,1.27382832517803,0.904,0.587,1.12571497724585e-275
"Gm46178",1.62349252671207e-272,4.01134578695359,0.468,0.085,3.11531980950779e-268
"Rps15",3.03861315460276e-269,1.28698159148998,0.907,0.595,5.83079478236724e-265
"Rpl41",2.24444756721525e-264,0.911007879172881,0.999,0.98,4.30687043672934e-260
"Rplp1",4.36527126423347e-263,0.808730336624093,1,0.99,8.3765190289376e-259
"Ifi27l2a",2.99670744135523e-259,1.36159437351495,0.963,0.765,5.75038190921656e-255
"ND1",4.59554149104466e-247,1.50189613039437,0.984,0.891,8.81838456716559e-243
"Esrrg",1.0063950970712e-230,1.72490304371229,0.829,0.537,1.93117155176992e-226
"Rpl38",5.1090655266075e-230,0.975261273205987,0.975,0.826,9.80378583900713e-226
"Tmem176b",8.95959180025712e-227,1.92951036737172,0.682,0.333,1.71925607055134e-222
"Exoc4",1.1945383482219e-218,2.61651853597727,0.471,0.127,2.29219963640301e-214
"Mup5",1.71527151121142e-218,1.80560277893034,0.802,0.48,3.2914345028636e-214
"Tmem176a",7.86938950995947e-205,1.905602157658,0.666,0.333,1.51005715306612e-200
"Rps12",5.05717300529217e-203,1.06052555670035,0.93,0.732,9.70420927985514e-199
"Gm26917",1.13897253171085e-197,2.43113520884393,0.993,0.984,2.18557439109995e-193
"Rn7sk",1.81920733161087e-195,2.89104330572301,0.5,0.161,3.49087694862809e-191
"ND3",8.61489925700928e-193,1.49341733234938,0.922,0.733,1.65311301842751e-188
"H2aj",3.37110349258054e-188,0.96161312452281,0.961,0.824,6.46881049191279e-184
"Prol1",1.00176175077514e-186,0.485006168390489,0.999,0.999,1.92228062356242e-182
"Gphn",1.49800695793789e-186,2.79457422372838,0.589,0.263,2.87452555158701e-182
"Gne",7.7702522687175e-186,1.25636026065325,0.809,0.513,1.4910337078442e-181
"Cdk8",1.57016433623741e-183,2.86163132652157,0.477,0.157,3.01298834480597e-179
"Gm15564",8.04594476500411e-183,2.6020933049838,0.379,0.079,1.54393634095664e-178
"Rps21",6.06090125300374e-174,0.835110686568188,0.978,0.882,1.16302634143889e-169
"Rps8",2.77367918627468e-169,0.762730789653584,0.988,0.935,5.32241299054249e-165
"Dstn",4.56799763023956e-159,1.14409007828328,0.744,0.457,8.76553065266669e-155
"Rps28",6.66628996594404e-155,0.854394782205536,0.948,0.817,1.279194381565e-150
"Cald1",8.28571891787659e-154,1.66822341516874,0.562,0.274,1.58994660315134e-149
"Rpl37a",3.90678155599922e-153,0.76278868034794,0.988,0.943,7.4967231278069e-149
"Hsp90ab1",4.0716016680483e-152,1.02950374064733,0.857,0.626,7.81299644081789e-148
"Pnrc1",8.8943542612598e-151,2.09297658102001,0.414,0.137,1.70673763919314e-146
"Pigr",1.50021061829991e-150,1.25103654405414,0.792,0.545,2.87875415545569e-146
"Trp53inp1",1.73096834663937e-148,3.76417287338091,0.25,0.029,3.32155516036628e-144
"Dcpp3",2.16598775395074e-148,1.57201545559519,0.514,0.212,4.15631390105608e-144
"ND2",4.99677751025536e-148,1.31316514686751,0.982,0.941,9.588316364429e-144
"P4hb",1.02317374383571e-147,0.843686990294193,0.921,0.735,1.96336809704634e-143
"Tcn2",5.12544747473259e-143,1.07848966908653,0.79,0.528,9.83522115926437e-139
"Hexb",9.09976579824912e-143,2.31346850080605,0.423,0.153,1.74615405902602e-138
"2310057J18Rik",7.35045432591634e-139,2.25315805489079,0.458,0.177,1.41047868060009e-134
"Eif4g3",2.94752611503479e-138,2.18365880865549,0.37,0.113,5.65600786214025e-134
"Zbtb20",2.3152677574602e-135,1.19300042390795,0.797,0.575,4.44276729979038e-131
"Chrm3",7.59923682442965e-135,1.20662059307743,0.775,0.534,1.45821755423981e-130
"Gm30821",8.89514693073951e-134,2.88256070009867,0.281,0.054,1.7068897445396e-129
"Palmd",1.14027639668015e-133,1.53285021136462,0.562,0.297,2.18807637758954e-129
"Arl4a",5.78369076015631e-133,2.33554020417001,0.321,0.081,1.1098324199664e-128
"Rps17",1.87878578924612e-132,1.01554953503239,0.742,0.506,3.60520205098437e-128
"Rps25",6.83629224638126e-132,0.828165575132769,0.88,0.689,1.3118161191581e-127
"Rps19",6.54331211705129e-126,0.69552253358925,0.978,0.918,1.25559616214097e-121
"Atp5f1e",8.8416555822745e-125,0.797145980012092,0.897,0.719,1.69662528968265e-120
"Auts2",4.91111765682441e-124,0.993166434984054,0.902,0.75,9.42394367168037e-120
"Rplp2",5.61557182617308e-123,0.774035763007618,0.906,0.739,1.07757207772435e-118
"Ephx1",1.53588288553935e-122,2.46162819289995,0.283,0.065,2.94720566906146e-118
"Dnah11",1.94813604963582e-122,2.04286328387188,0.373,0.128,3.73827826564618e-118
"Jun",5.8968578907132e-121,1.54865238083824,0.727,0.497,1.13154806064896e-116
"Ccnd1",8.71461726842261e-121,2.31497146483497,0.35,0.117,1.67224790763761e-116
"Atp2a3",9.09930071544704e-117,0.994151619375222,0.751,0.498,1.74606481428713e-112
"Ncald",1.37575959219125e-114,1.05728161774633,0.785,0.582,2.63994508145579e-110
"Actb",2.49756597011642e-113,1.33630089736854,0.65,0.431,4.7925793400564e-109
"Rpsa",5.45318600470607e-113,0.648057786040534,0.981,0.936,1.04641186244305e-108
"Rpl37",6.11118669148144e-113,0.660635848912503,0.979,0.92,1.17267561422837e-108
"St3gal1",1.3356271577946e-111,0.869751765306649,0.898,0.762,2.56293495309206e-107
"Rpl6",1.49970054486433e-109,0.669368117557332,0.91,0.759,2.87777537554016e-105
"Neat1",2.65686189210753e-106,1.0888978081866,0.751,0.528,5.09825228476514e-102
"Macf1",1.90658196261701e-105,1.95112816822346,0.351,0.128,3.65854012806578e-101
"Srpra",8.16995238664243e-105,1.04099641712114,0.648,0.417,1.56773216347282e-100
"Rpl5",2.24169069278329e-103,0.73118526799192,0.853,0.658,4.30158027038185e-99
"Stox2",2.96877838409876e-103,1.68271332547107,0.447,0.216,5.69678884124711e-99
"Btg2",3.4163431837684e-103,1.22590887243185,0.737,0.489,6.55562093533318e-99
"Eif5b",1.55754957629092e-102,1.47694706272953,0.45,0.215,2.98878188194465e-98
"Mtus1",5.71613885436032e-102,1.91057271892536,0.327,0.112,1.0968698847632e-97
"Nucb2",4.84225552909014e-101,0.818323163563621,0.746,0.523,9.29180413477108e-97
"Agt",1.98009653086825e-100,0.723751724168619,0.906,0.72,3.79960723308308e-96
"Rpl35",3.17708545898887e-100,0.553884211941179,0.991,0.973,6.09650928725374e-96
"Rpl23a",3.19374389305571e-98,1.55745958774982,0.433,0.216,6.12847515638461e-94
"Rpl36",3.63050734565143e-97,0.626125739563536,0.963,0.876,6.96658054557053e-93
"Rps14",1.29240790959627e-96,0.565219405424656,0.99,0.961,2.48000153772429e-92
"Plcb4",2.5033436979135e-95,0.951132125773941,0.827,0.674,4.80366622192621e-91
"Tshz2",9.71653578997736e-95,1.31359700389865,0.522,0.298,1.86450605273876e-90
"Srrm2",2.61397906423744e-94,1.25134135552001,0.493,0.259,5.01596442636523e-90
"Ehf",2.71218143071404e-93,1.33233062308723,0.472,0.245,5.20440494739717e-89
"Nfkbia",1.57158117471049e-92,2.33263553723652,0.266,0.08,3.01570711615197e-88
"Rab27b",2.77743151095884e-92,1.57102955701156,0.374,0.16,5.32961332637891e-88
"ND5",1.73189223167149e-90,1.05252012584551,0.887,0.769,3.32332800335441e-86
"Etv6",2.73460260008667e-89,1.59666134406883,0.372,0.163,5.24742892930631e-85
"Pde4b",8.12217840241865e-89,1.40698311867484,0.48,0.263,1.55856481364011e-84
"Son",4.55439014700196e-88,1.27895795539185,0.472,0.249,8.73941925308206e-84
"Airn",7.12508607758311e-86,1.55276628797657,0.405,0.198,1.36723276742742e-81
"Ubc",3.60638853005262e-85,0.798541924530439,0.812,0.624,6.92029895031796e-81
"Shank2",1.91111323860139e-84,1.76365064571164,0.316,0.123,3.66723519355222e-80
"Calm1",2.23451593977509e-84,0.703762741468489,0.85,0.69,4.28781263683443e-80
"Chst9",3.21021100760681e-84,1.39091560163537,0.479,0.27,6.16007390249672e-80
"Tmbim6",5.91686127379339e-84,0.719049291953791,0.768,0.576,1.13538650982821e-79
"Bach2",2.7599251829369e-82,1.35981511306772,0.475,0.272,5.29602043353761e-78
"Adcy8",6.05105841906703e-81,1.3530391089656,0.471,0.267,1.16113760003477e-76
"Sec62",1.49793544305479e-80,1.01056875538514,0.567,0.369,2.87438832167783e-76
"Ptprt",7.09521143091854e-80,1.67890660347973,0.354,0.16,1.36150012147896e-75
"Uba52",1.20587004879153e-79,0.461201704988977,0.998,0.994,2.31394403662606e-75
"Hdlbp",3.74265909430165e-79,0.76699544606517,0.768,0.575,7.18178853605544e-75
"Pdcd4",1.90289014278105e-77,0.616651490677942,0.857,0.686,3.65145589498256e-73
"Fam241a",1.36610963002003e-76,1.69307201325375,0.269,0.094,2.62142776904544e-72
"Fndc3b",6.02747444289936e-76,1.36437202348375,0.42,0.221,1.15661207084796e-71
"Ppp2r3a",1.04528243053763e-75,1.74688452939974,0.269,0.095,2.00579245595867e-71
"Gnas",1.835527702011e-75,0.613028782664954,0.872,0.706,3.52219410738891e-71
"Foxp1",2.52162237880559e-75,1.29198292481765,0.483,0.286,4.83874118269005e-71
"ND4",7.44551401008425e-75,0.845781495629569,0.978,0.939,1.42871968339507e-70
"Arhgef28",3.23603389958545e-74,1.46335246506645,0.35,0.16,6.20962544991451e-70
"Fos",1.15684142137613e-73,1.17797742985686,0.648,0.45,2.21986300347865e-69
"Rpl24",5.32904247121523e-72,0.522018619635072,0.982,0.945,1.02258995980149e-67
"Rpl28",1.90373007867909e-71,0.440776207026127,0.985,0.951,3.6530676479773e-67
"Rps27",2.15685138339448e-71,0.656778985457981,0.79,0.632,4.13878211959567e-67
"Atp5me",3.38937031730081e-71,1.1892564734085,0.409,0.215,6.50386270186853e-67
"Cox4i1",2.60199303710981e-70,0.574982314977872,0.899,0.771,4.99296443891002e-66
"Slc23a2",2.78110970933866e-70,1.50963964032415,0.309,0.131,5.33667142124996e-66
"Etl4",9.52961706643155e-70,1.64863124940639,0.284,0.114,1.82863821887755e-65
"Dcpp2",1.4745688391784e-69,1.53833808159984,0.466,0.27,2.82955014549943e-65
"Ndufa13",2.5075775217695e-69,0.703870052892191,0.719,0.543,4.81179050652348e-65
"Rps26",4.53753235191028e-69,0.632359609928075,0.859,0.716,8.70707083008064e-65
"Pitpnc1",1.2346764771701e-68,1.5440531687925,0.313,0.139,2.36922069204171e-64
"Elapor1",2.088915881561e-68,1.24582485520306,0.434,0.249,4.0084206851274e-64
"Bcar3",3.01079041378031e-68,1.76700296361994,0.274,0.109,5.77740572500304e-64
"Ank3",5.64634267238186e-68,1.30194032397653,0.406,0.219,1.08347669540336e-63
"Fau",1.03682153309918e-67,0.506366638745739,0.992,0.974,1.98955683986401e-63
"Eef2",6.78551343758838e-67,0.597357416764096,0.867,0.701,1.30207217353883e-62
"Myo10",2.00808431575834e-66,1.57675546925258,0.281,0.114,3.85331299350868e-62
"Phlpp1",4.3456728929301e-66,1.61375723258747,0.301,0.132,8.33891171424357e-62
"Gm20275",4.5868566641406e-65,1.24239421861429,0.5,0.325,8.8017192528194e-61
"Clec2d",1.88865620352354e-64,0.876161167719872,0.639,0.452,3.62414238894131e-60
"Rpl17",2.53506073673269e-64,0.513679107314631,0.931,0.838,4.86452804771636e-60
"Atp1a1",5.14933532854627e-64,0.665179091877323,0.84,0.708,9.88105956194745e-60
"Cox6a1",6.59642240270003e-64,1.10569726216663,0.41,0.224,1.26578749485411e-59
"Syne2",2.05701196963333e-63,1.65421541719611,0.279,0.118,3.9472002685294e-59
"Rpl7a",3.07539421528541e-63,0.513442999006851,0.871,0.726,5.90137395971118e-59
"Rpl35a",1.37825944825359e-62,0.490496440694855,0.958,0.881,2.64474205525382e-58
"Rpl36a",1.06208740520457e-61,0.57689287691952,0.787,0.631,2.03803952184705e-57
"Calm2",2.50802950909503e-61,0.6168181130593,0.836,0.699,4.81265782500246e-57
"Fermt2",5.57681219402905e-61,1.60650073966746,0.258,0.105,1.07013449191223e-56
"Rpl14",9.30842802211926e-61,0.500492706563514,0.915,0.798,1.78619425316446e-56
"ND6",1.49937513557542e-60,1.26095107709789,0.35,0.178,2.87715094765567e-56
"Pdap1",2.38438755791849e-60,1.42144023720543,0.292,0.131,4.57540128488979e-56
"Ube2h",2.67343811952307e-60,1.47576997014296,0.323,0.159,5.13006040755282e-56
"Creb3l1",3.19208374834508e-60,0.870823298154057,0.617,0.453,6.12528950469938e-56
"Tacc2",5.94105688258984e-60,1.24413738448353,0.505,0.333,1.14002940520016e-55
"Snhg18",9.51756749261728e-60,1.25374727329522,0.307,0.141,1.82632602615833e-55
"Fth1",1.31035913167281e-59,0.544889679807754,0.98,0.94,2.51444813776695e-55
"Trip11",1.60630013902386e-59,1.27512871468695,0.346,0.177,3.08232933677288e-55
"Spag9",2.80518319621e-59,1.37570449593706,0.312,0.15,5.38286603520737e-55
"Egr1",6.56771232928133e-59,1.76874537890907,0.343,0.187,1.2602783188658e-54
"Map3k1",1.30719000463825e-58,1.2799991740729,0.369,0.198,2.50836689990034e-54
"Myo1e",1.97924224637415e-58,1.55729917266675,0.27,0.116,3.79796794656735e-54
"Junb",5.80804694702517e-58,1.11470964288759,0.547,0.373,1.11450612866466e-53
"Vgll4",5.86809609515688e-58,1.36448607368056,0.307,0.146,1.12602895969965e-53
"Ifrd1",9.63657636020975e-57,1.06683680019167,0.579,0.431,1.84916263776065e-52
"Dnajc3",1.98762301833162e-56,0.593986954858248,0.748,0.593,3.81404980987654e-52
"Nbea",4.10686036048974e-56,1.10332341720625,0.427,0.259,7.88065434574375e-52
"Cox6c",9.46480072930815e-56,0.588878653281874,0.726,0.569,1.81620061194694e-51
"Prpf4b",3.56416276673575e-55,1.4739647449274,0.261,0.113,6.83927193308922e-51
"Golgb1",1.1001782419937e-54,1.02859464490187,0.42,0.25,2.11113202856172e-50
"Mbnl2",2.01260570841798e-54,0.866322805858355,0.621,0.474,3.86198909388326e-50
"Dnajc1",3.98440187430635e-54,1.01139304818118,0.433,0.266,7.64566875660645e-50
"Wwc1",4.18838954510202e-54,1.16894017557491,0.42,0.26,8.03710069809627e-50
"Uqcr11",4.86961083934756e-54,0.526175191790015,0.734,0.567,9.34429623962404e-50
"Mir6236",1.43229244125643e-53,3.33151910437826,0.262,0.126,2.74842596552697e-49
"Elmo1",2.94718143580725e-53,1.12106910031766,0.378,0.215,5.65534645717053e-49
"Pbx1",3.08441605370534e-53,1.03009396329078,0.475,0.315,5.91868596545517e-49
"Top1",3.20758300653298e-53,1.28948448127325,0.265,0.118,6.15503103123614e-49
"Kcnq1ot1",4.19677718464206e-53,1.49206580426281,0.285,0.137,8.05319573960965e-49
"Mad1l1",6.56735683983344e-53,1.37953865244518,0.305,0.152,1.26021010399564e-48
"Tanc1",8.15334920482824e-53,1.73205288580723,0.253,0.112,1.56454617891449e-48
"Casz1",1.25163704751728e-52,1.4120501707587,0.27,0.124,2.4017663304809e-48
"COX3",1.54707153611056e-52,0.771914506962954,0.988,0.957,2.96867557064255e-48
"Mob3b",8.70672147978986e-52,1.29284202177402,0.348,0.195,1.67073278475688e-47
"COX1",9.80032612457611e-52,0.683229229644011,0.983,0.949,1.88058458004491e-47
"Rpl12",5.54680686505863e-51,0.480447555994345,0.879,0.766,1.0643767693361e-46
"Cpd",2.01468930845973e-50,0.568175577645519,0.786,0.63,3.86598731400337e-46
"Dcpp1",2.21139383347204e-50,2.03469876682025,0.296,0.152,4.2434436270495e-46
"Tpr",3.57947850176074e-50,1.30164363556343,0.265,0.121,6.86866129702869e-46
"Klf12",8.07430809519815e-50,1.35731152712796,0.283,0.138,1.54937898038757e-45
"Gm38733",9.84901896716596e-50,1.55409749944216,0.261,0.123,1.88992824960948e-45
"Ralbp1",2.93165585127155e-49,1.17903555589575,0.304,0.156,5.62555441300497e-45
"Bzw2",4.22550071272403e-49,1.53695730863001,0.273,0.133,8.10831331764614e-45
"Msi2",5.70624675487279e-49,1.16674853167896,0.338,0.187,1.09497168979254e-44
"Pafah1b1",2.14649447551862e-48,1.30376103663436,0.26,0.121,4.11890824907267e-44
"Jund",2.22870506973877e-48,0.679316080272997,0.763,0.612,4.27666215832172e-44
"Magi1",1.19968843667308e-47,1.01546624516416,0.448,0.295,2.30208214113198e-43
"Phlda1",1.40521445048076e-47,0.571151894891017,0.911,0.849,2.69646600902752e-43
"Nfix",6.21631479266856e-47,0.984912613189292,0.425,0.273,1.19284864556517e-42
"Aopep",1.34672510811375e-46,1.25788333229299,0.317,0.171,2.58423080995947e-42
"Dennd2b",1.51406975106087e-46,1.33912745597751,0.266,0.13,2.90534844531071e-42
"St3gal4",1.89134102048076e-46,0.644136644657757,0.925,0.892,3.62929428420053e-42
"Uqcrh",3.70381836045759e-46,0.469975153045909,0.762,0.623,7.10725705188207e-42
"Snrnp70",6.41056432382295e-46,1.0942903268198,0.325,0.178,1.23012318809839e-41
"Tnrc6a",7.39715987636343e-46,1.12483817104623,0.34,0.193,1.41944100867538e-41
"Tesc",7.93343040072278e-46,0.435493031200986,0.859,0.718,1.52234595959469e-41
"Tex15",8.2940861664993e-46,1.25985920250222,0.304,0.164,1.59155219448955e-41
"Rpl31",9.04430712251985e-46,0.936479889194061,0.393,0.243,1.73551209374033e-41
"Rplp0",1.2544103532347e-45,0.402093153296796,0.994,0.994,2.40708802682206e-41
"Tcf25",1.33046335323558e-45,0.982332573414866,0.405,0.257,2.55302612852375e-41
"Tubb4b",1.33982028816602e-45,1.26968738126174,0.307,0.167,2.57098115096178e-41
