"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfix",4.74036141885227e-43,0.95089928820028,0.434,0.273,9.09627952663562e-39
"Itpkb",5.15561927044188e-43,1.38511648893419,0.282,0.141,9.89311781805092e-39
"Rps26",1.3976313055064e-42,0.478758055945466,0.821,0.716,2.68191471213622e-38
"Golga4",9.00310629777589e-42,1.39892019715635,0.269,0.133,1.72760606748021e-37
"Actb",1.69921424704729e-41,0.701507134675625,0.569,0.431,3.26062221865905e-37
"Mob3b",7.23000129461777e-41,1.11482694010524,0.341,0.195,1.3873649484242e-36
"Rps9",1.51456999631547e-40,0.340185213976286,0.946,0.89,2.90630836592976e-36
"Wwc1",2.32218354129342e-40,0.969284750041661,0.41,0.26,4.45603799738795e-36
"Ubc",2.38709192974012e-40,0.463911419647063,0.78,0.624,4.58059070397831e-36
"Gfpt1",3.46669083487338e-40,0.600110393025151,0.724,0.591,6.65223304303852e-36
"Dnajc1",8.52491716305299e-40,0.839106065311853,0.425,0.266,1.63584635441824e-35
"Tnrc6a",1.02958878146466e-39,1.05054221943418,0.34,0.193,1.97567791275254e-35
"Calm2",2.42466927035107e-39,0.495556812391692,0.793,0.699,4.65269786287667e-35
"Rpl39",3.90369898914136e-39,0.447303055055343,0.904,0.847,7.49080799026336e-35
"Kcnq1ot1",7.97280469630612e-39,1.28351981997099,0.269,0.137,1.52990149317418e-34
"Trip11",1.26056436811746e-38,1.02895494209338,0.321,0.177,2.4188969659806e-34
"Fau",3.05905386344968e-38,0.322289903640864,0.985,0.974,5.87001845857359e-34
"Pbx1",4.57290990997042e-38,0.84247474952472,0.467,0.315,8.77495682624224e-34
"Foxp1",1.50245732142104e-37,0.951654309032599,0.433,0.286,2.88306535407484e-33
"ND6",1.98882101203071e-37,1.23566237987138,0.316,0.178,3.81634863998573e-33
"Casz1",2.59377143403344e-37,1.23897768315038,0.251,0.124,4.97718800476677e-33
"Vgll4",3.2050945179248e-37,1.17370734458073,0.28,0.146,6.1502558704459e-33
"Mia3",4.20307768804827e-37,0.94613828457358,0.381,0.237,8.06528577559583e-33
"Agap1",1.03772572109704e-36,1.10595431845957,0.298,0.163,1.99129188621312e-32
"Atp5mf",3.4788661805625e-36,0.430006369992381,0.795,0.679,6.67559631388138e-32
"Zfhx3",1.77360371062028e-35,0.976253480642736,0.338,0.199,3.40336816030926e-31
"Atp1a1",2.07860617971558e-35,0.512223518110873,0.824,0.708,3.98863739825622e-31
"2310057J18Rik",2.61695665938562e-35,1.2086012588805,0.315,0.177,5.02167813369507e-31
"Mlec",4.64730060955036e-35,0.996310680160758,0.307,0.174,8.91770513966618e-31
"Cox6a1",8.73911981430236e-35,0.814120922327919,0.371,0.224,1.67694970116648e-30
"Gnas",1.71607877012673e-34,0.396808422235325,0.833,0.706,3.29298355199619e-30
"Zfp106",2.39367270900015e-34,1.10315957367149,0.27,0.143,4.59321856130038e-30
"Ybx1",2.40364751090264e-34,1.02670107413546,0.262,0.137,4.61235920867108e-30
"Larp1b",2.73504450242265e-34,0.903428766287438,0.317,0.181,5.24827689569883e-30
"Calr",3.69835967151283e-34,0.624672692225516,0.543,0.4,7.09678237366596e-30
"St3gal4",6.7019401773856e-34,0.545190905705943,0.939,0.892,1.28603530063852e-29
"Ndufc1",7.20362995062334e-34,0.705985757178925,0.457,0.313,1.38230455122511e-29
"Cpeb4",7.48527869760388e-34,1.07841418504438,0.273,0.146,1.43635012928321e-29
"Phlpp1",2.08915139136698e-33,1.14262850444993,0.254,0.132,4.0088726048941e-29
"Dpm3",3.21425562269492e-33,0.790128486005569,0.393,0.254,6.16783511438928e-29
"Rpl32",5.93717200485189e-33,0.267396231579613,0.993,0.992,1.13928393601103e-28
"Mrpl52",6.17251669324847e-33,0.819164655891547,0.337,0.201,1.18444422826745e-28
"Ar",8.07789203691685e-33,0.873951952039355,0.354,0.218,1.55006670296397e-28
"Rpl34",1.48614445075087e-32,0.384844861415693,0.844,0.772,2.85176258654584e-28
"Pigr",1.86215493762844e-32,0.635412277225384,0.665,0.545,3.57328910981521e-28
"Plcb4",2.04126589394307e-32,0.568061114819901,0.784,0.674,3.91698512388736e-28
"Ier3ip1",5.14044291250132e-32,0.954737226729053,0.287,0.161,9.86399590479879e-28
"Magi1",7.46236286425355e-32,0.966875464987402,0.428,0.295,1.43195281002161e-27
"Chchd10",7.91496826088815e-32,0.354253220352231,0.851,0.756,1.51880325958183e-27
"Klf12",9.97808223160808e-32,1.02416215693939,0.259,0.138,1.91469419942328e-27
"Mlph",1.13902394056056e-31,1.00401731128077,0.312,0.185,2.18567303954166e-27
"Bach2",1.18047510601099e-31,0.924502991409721,0.404,0.272,2.26521368092448e-27
"Anapc13",2.54404102146549e-31,0.80993971472478,0.315,0.183,4.88176031609014e-27
"Tuba4a",2.85798039267741e-31,0.830714858198759,0.3,0.17,5.48417857550869e-27
"Eif2s2",4.50235506643217e-31,0.621747676256984,0.523,0.395,8.6395691369767e-27
"Cpd",9.92560855807649e-31,0.405936318780919,0.754,0.63,1.9046250262093e-26
"Abcf1",1.87785850654553e-30,0.956846741264253,0.279,0.157,3.60342268821022e-26
