"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pcmtd17",2.22510106199573e-17,0.974514233932733,0.316,0.165,4.45598738675264e-13,"27","Pcmtd1"
"Rnasek7",2.25172959442716e-17,0.39727751034547,0.525,0.304,4.50931368579982e-13,"27","Rnasek"
"Aff16",2.46231147987384e-17,1.05556616939338,0.268,0.132,4.93102496959535e-13,"27","Aff1"
"Usp9x8",2.9817605552131e-17,1.17730896841162,0.277,0.14,5.97127368786976e-13,"27","Usp9x"
"Srsf119",3.20199662445947e-17,1.07766752905642,0.293,0.151,6.41231844014253e-13,"27","Srsf11"
"Ldha9",3.31932639170418e-17,0.771248407745764,0.35,0.185,6.6472830320268e-13,"27","Ldha"
"Plcb49",4.2962910231799e-17,0.542530608998733,0.566,0.37,8.60375240302008e-13,"27","Plcb4"
"Zbtb2011",4.37777166309223e-17,0.371482385675989,0.7,0.484,8.7669255325085e-13,"27","Zbtb20"
"Usp256",4.9719719586238e-17,1.08910153359217,0.268,0.133,9.95687104434002e-13,"27","Usp25"
"Ube2b10",6.37638107513476e-17,0.799775142536173,0.386,0.22,1.27693407410649e-12,"27","Ube2b"
"Ctsd7",8.7950346460384e-17,0.8524165245729,0.398,0.232,1.76129363821565e-12,"27","Ctsd"
"Cobl5",9.79752563186396e-17,0.846288730113783,0.316,0.165,1.96205248303708e-12,"27","Cobl"
"Ndufb59",1.00595154417794e-16,0.302692274383921,0.534,0.314,2.01451856237073e-12,"27","Ndufb5"
"Rp96",1.15976405618379e-16,0.846642249001132,0.277,0.137,2.32254349891366e-12,"27","Rp9"
"Zfand58",1.1665539238525e-16,0.86655387525758,0.389,0.224,2.33614088790701e-12,"27","Zfand5"
"Arpc1b6",1.46691297584569e-16,0.723190083809212,0.3,0.151,2.93763992542857e-12,"27","Arpc1b"
"Ndufb106",1.49737161970631e-16,0.270800322729047,0.545,0.327,2.99863640562386e-12,"27","Ndufb10"
"Phf21a6",1.76187387549388e-16,1.08362556849446,0.257,0.127,3.52832862306403e-12,"27","Phf21a"
"Ctnnd17",1.81196046331977e-16,0.808256387381342,0.341,0.185,3.62863202384416e-12,"27","Ctnnd1"
"Swi59",3.04990961880678e-16,0.592573464733376,0.375,0.205,6.10774900262246e-12,"27","Swi5"
"Fndc3b8",3.27271155560823e-16,0.74356710414049,0.302,0.157,6.55393216126104e-12,"27","Fndc3b"
"Huwe17",3.30648856912945e-16,0.954183042502279,0.289,0.148,6.62157400853863e-12,"27","Huwe1"
"H2aj6",3.61946111662942e-16,0.444014946858354,0.607,0.422,7.24833283216208e-12,"27","H2aj"
"Eif4g210",4.58194713152065e-16,0.807553581901337,0.409,0.247,9.17580732558326e-12,"27","Eif4g2"
"Rdx9",4.61878595516454e-16,0.911639766992822,0.314,0.168,9.24958075381251e-12,"27","Rdx"
"Psmb58",4.78204286958467e-16,0.738321892736447,0.33,0.176,9.57651905063026e-12,"27","Psmb5"
"Ccdc125",5.07045960698147e-16,0.749141719358625,0.282,0.14,1.01541024089411e-11,"27","Ccdc12"
"Drap14",6.8295024299092e-16,0.798726672256822,0.28,0.14,1.36767615661362e-11,"27","Drap1"
"Ddx3x8",7.25456238032014e-16,0.977382133912273,0.311,0.169,1.45279866228291e-11,"27","Ddx3x"
"Ndufa210",9.60132140239813e-16,0.450993492214438,0.473,0.284,1.92276062404425e-11,"27","Ndufa2"
"Tmem2565",1.02544138800409e-15,0.882961894167057,0.255,0.124,2.05354892361699e-11,"27","Tmem256"
"Ndufb1110",1.17071774147346e-15,0.328371041819886,0.568,0.353,2.34447934907476e-11,"27","Ndufb11"
"Sec11a6",1.70346983596468e-15,1.01605362031632,0.257,0.129,3.41136869350286e-11,"27","Sec11a"
"Prkn5",1.84715990592892e-15,1.11648385765334,0.261,0.134,3.69912242761327e-11,"27","Prkn"
"Mprip7",1.94603599883549e-15,0.838245788625569,0.307,0.163,3.89713169126796e-11,"27","Mprip"
"Bmpr1a7",2.4511382115399e-15,1.07979708462548,0.255,0.129,4.90864938242979e-11,"27","Bmpr1a"
"Foxp112",2.964969357242e-15,0.429737699175366,0.543,0.343,5.93764763481283e-11,"27","Foxp1"
"Spint29",4.03308831127008e-15,0.562105365444754,0.545,0.367,8.07666265214946e-11,"27","Spint2"
"Slc25a47",4.56833167470974e-15,0.297539068559374,0.457,0.263,9.14854101177373e-11,"27","Slc25a4"
"Hint24",5.58630119220972e-15,0.833568090990525,0.261,0.132,1.11871267675192e-10,"27","Hint2"
"Ppp1r12a6",6.9667437754426e-15,0.848866882643801,0.255,0.128,1.39516010847013e-10,"27","Ppp1r12a"
"Anapc138",7.01517092127815e-15,0.696351000603208,0.309,0.165,1.40485812869516e-10,"27","Anapc13"
"Nfix9",8.76770555502201e-15,0.637967183451854,0.445,0.278,1.75582071444871e-10,"27","Nfix"
"Stat37",8.8072152070459e-15,1.05258807724855,0.25,0.128,1.76373291736301e-10,"27","Stat3"
"Dctn35",9.30538776271345e-15,0.89410637766338,0.259,0.132,1.86349695336100e-10,"27","Dctn3"
"Lamtor411",1.15365254319686e-14,0.559142069718115,0.348,0.192,2.31030458300603e-10,"27","Lamtor4"
"Pkp47",1.15793459076433e-14,0.398929154742588,0.5,0.296,2.31887981146465e-10,"27","Pkp4"
"Birc68",1.66060503403872e-14,1.01211864027688,0.275,0.148,3.32552764116595e-10,"27","Birc6"
"Arf48",1.73312025355435e-14,0.657110765011097,0.343,0.192,3.47074661976794e-10,"27","Arf4"
"Mt18",2.24757523960983e-14,0.387545001450387,0.689,0.46,4.50099417484265e-10,"27","Mt1"
"Kansl110",2.38706341517277e-14,0.892235297837201,0.309,0.17,4.780333195225e-10,"27","Kansl1"
"Tmcc15",2.71884641321141e-14,1.06617786982148,0.264,0.139,5.44476182709718e-10,"27","Tmcc1"
"Tmed27",3.07127677067803e-14,0.876483796517315,0.305,0.169,6.15053886095982e-10,"27","Tmed2"
"Polr2l5",3.28106037019821e-14,0.685100011819658,0.289,0.152,6.57065149735893e-10,"27","Polr2l"
"Gnaq11",3.63198265493978e-14,0.622720657512556,0.359,0.205,7.2734084647824e-10,"27","Gnaq"
"Mycbp29",3.88183893865982e-14,0.969306878324997,0.27,0.143,7.77377065856015e-10,"27","Mycbp2"
"Zcchc714",3.88660086839351e-14,0.796464125879179,0.32,0.178,7.78330689904484e-10,"27","Zcchc7"
"Nsd15",4.28513042360751e-14,1.03168223430583,0.259,0.137,8.5814021863164e-10,"27","Nsd1"
"Lncpint11",5.16190779091958e-14,0.931647040094362,0.318,0.181,1.03372365420955e-09,"27","Lncpint"
"Mdh27",5.69832794781514e-14,0.477380736545227,0.411,0.241,1.14114715482946e-09,"27","Mdh2"
"Pitpnc17",6.49441516501791e-14,0.890264798539573,0.261,0.137,1.30057158094649e-09,"27","Pitpnc1"
