"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pabpc1",1.89547844443835e-248,0.834895274487558,0.963,0.81,3.61448784569948e-244,"0","Pabpc1"
"Meis1",6.95793841882593e-244,1.66869484921765,0.572,0.327,1.32680927708592e-239,"0","Meis1"
"Magi1",6.24841467911888e-243,1.73538220495493,0.556,0.315,1.19151019516118e-238,"0","Magi1"
"Adcy8",7.70588100102412e-240,1.63817357046594,0.576,0.327,1.46943444808529e-235,"0","Adcy8"
"P4hb",1.68185506738877e-238,0.859062698238772,0.96,0.791,3.20712942800365e-234,"0","P4hb"
"Eef21",1.3776682880439e-236,0.852244790461582,0.932,0.715,2.62707565847091e-232,"0","Eef2"
"Fry",6.21826496151807e-234,1.55521737888871,0.591,0.348,1.18576094551188e-229,"0","Fry"
"Foxp1",8.68620562108527e-231,1.59242253485428,0.572,0.333,1.65637254988475e-226,"0","Foxp1"
"Nbea",2.84565763517042e-230,1.80814787323371,0.51,0.277,5.42638454450647e-226,"0","Nbea"
"Mbnl21",1.10044510857216e-226,1.13870453180566,0.74,0.477,2.09843877753625e-222,"0","Mbnl2"
"Nfib",2.50174224741354e-223,1.455223172707,0.606,0.367,4.77057229159289e-219,"0","Nfib"
"Pigr1",1.41587519510552e-214,0.960068388939324,0.846,0.584,2.69993240954671e-210,"0","Pigr"
"Cgnl1",2.00294896965221e-209,1.68509353659066,0.518,0.299,3.81942339022979e-205,"0","Cgnl1"
"Stox2",5.32873106639887e-200,1.72946346492323,0.507,0.291,1.0161357270516e-195,"0","Stox2"
"Bach2",1.39705711089433e-198,1.56459502042491,0.533,0.315,2.66404820476439e-194,"0","Bach2"
"Mgat4a",7.81750928877154e-198,1.38942847082481,0.603,0.378,1.49072084627585e-193,"0","Mgat4a"
"Nfia1",1.09623014302855e-186,1.56745201732586,0.521,0.311,2.09040125974113e-182,"0","Nfia"
"Pde4b1",2.37154060183459e-184,1.31545306448758,0.586,0.361,4.52229077363837e-180,"0","Pde4b"
"Snd1",3.7378689368525e-184,1.62261760530738,0.494,0.29,7.12774227568403e-180,"0","Snd1"
"Sntb1",4.35954703479584e-184,1.58953233952665,0.509,0.305,8.31322024065218e-180,"0","Sntb1"
"Luc7l2",1.03909382220449e-181,1.66497996805544,0.479,0.281,1.98144800956173e-177,"0","Luc7l2"
"Gm15564",1.09628412577286e-173,2.28058811402556,0.39,0.196,2.09050419943626e-169,"0","Gm15564"
"Il31ra",2.20325663280274e-171,2.63115894990929,0.28,0.1,4.20139007309155e-167,"0","Il31ra"
"Xist1",7.25921545636941e-163,1.38593900044185,0.542,0.347,1.38425979537508e-158,"0","Xist"
"Tnrc6a",7.61791049484858e-157,1.79660857187241,0.403,0.218,1.45265935226268e-152,"0","Tnrc6a"
"Ralgapa2",2.65621156892533e-154,1.69647700675577,0.433,0.253,5.06512984078371e-150,"0","Ralgapa2"
"Gm30821",4.850890804235e-154,2.41623325586253,0.344,0.164,9.25016367459572e-150,"0","Gm30821"
"Agt1",3.47535127035306e-153,0.635705686363198,0.955,0.806,6.62714733743625e-149,"0","Agt"
"Hspa5",4.13117418093431e-151,0.723358883813878,0.84,0.62,7.87773604562364e-147,"0","Hspa5"
"Fam3d",1.07266201621114e-148,0.790301685000284,0.882,0.716,2.04545919871303e-144,"0","Fam3d"
"Ddx51",8.39886166668431e-148,1.08171720145566,0.629,0.434,1.60157893122003e-143,"0","Ddx5"
"Chst9",2.21886889427546e-140,1.43964390376023,0.498,0.315,4.23116109449388e-136,"0","Chst9"
"Dnah11",3.19072271752816e-135,1.73013201491372,0.393,0.222,6.08438915005445e-131,"0","Dnah11"
