"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm26917",1.45298670918559e-96,1.88838011605674,1,1,2.6954356442102e-92
"Camk1d",3.66190190523031e-79,3.15071017999725,0.877,0.585,6.79319422439275e-75
"Gm46178",1.90960190688222e-78,3.68764136656906,0.481,0.064,3.5425024974572e-74
"Gm30821",5.90509852487656e-73,4.23515581354463,0.376,0.026,1.09545482734985e-68
"Cmss1",5.42703588934852e-60,2.17253940567436,0.883,0.682,1.00676942783304e-55
"Npas2",3.28861141928034e-54,4.11273253051183,0.267,0.013,6.10070304390697e-50
"Gphn",1.01943541572479e-44,2.15642972939835,0.636,0.272,1.89115463971105e-40
"C2cd4b",5.90771854673884e-44,3.1378457202791,0.279,0.034,1.09594086760552e-39
"Cdk8",9.29781666870388e-43,2.11194567745666,0.576,0.225,1.72483797021126e-38
"Arl4a",2.93633874323979e-41,2.2526110914219,0.36,0.078,5.44720200258413e-37
"Rorc",1.64744244957629e-36,2.34870504011832,0.291,0.053,3.05617048820897e-32
"Rn7sk",2.17602208204953e-36,1.27295224217458,0.497,0.161,4.03673856441009e-32
"Meg3",6.49792792532536e-33,1.75267838650639,0.497,0.21,1.20543060942711e-28
"Tmem181a",3.06668932037835e-29,1.79042829299663,0.309,0.08,5.68901535823388e-25
"ATP8",8.59484517438794e-29,1.11239525522312,0.865,0.751,1.59442972830071e-24
"Pzp",1.70593260139457e-27,1.57613305135207,0.382,0.133,3.16467556884706e-23
"Lars2",6.86870172307473e-27,2.1367794171673,0.794,0.656,1.27421285664759e-22
"Gm15564",8.82319469461962e-27,2.34239219744708,0.269,0.068,1.63679084779888e-22
"Golm2",2.81274543575276e-26,1.20731686487107,0.501,0.23,5.21792405786495e-22
"Phlpp1",1.75119448284509e-24,1.18441463005208,0.412,0.158,3.24864088512592e-20
"Sdf4",2.28833271055551e-24,1.23348468997244,0.374,0.132,4.24508601135153e-20
"Itm2c",8.66496548788893e-24,1.18705764126546,0.434,0.185,1.60743774765828e-19
"Pon3",1.81101582755024e-23,1.04317074107768,0.515,0.24,3.35961546168846e-19
"H1f4",4.41264922645921e-23,2.01722208986756,0.261,0.072,8.18590558000448e-19
"Mtus1",3.81736888091596e-22,1.10014470914347,0.475,0.217,7.0816010109872e-18
"Ctsd",7.58051804241747e-22,1.06271971782979,0.41,0.166,1.40626190204887e-17
"0610040J01Rik",8.70957210180987e-22,1.50212220749607,0.287,0.09,1.61571272060675e-17
"Ldha",1.06710199706136e-21,0.99435821122025,0.501,0.237,1.97958091474853e-17
"Eif3c",1.47247735088188e-21,1.10475917628895,0.4,0.16,2.73159273362098e-17
"Son",1.59791546799093e-21,0.936195185662112,0.517,0.249,2.96429298466998e-17
"Vcp",1.69984133605369e-21,1.00995705695624,0.408,0.166,3.1533756625132e-17
"mt-Rnr1",1.83635172712644e-21,1.30449628579506,0.992,0.996,3.40661608899226e-17
"Ssr2",3.23634755719875e-21,1.12971379699322,0.408,0.171,6.0037483533594e-17
"Lasp1",8.73479848883184e-21,1.12394342745742,0.396,0.167,1.62039246766319e-16
"Mir6236",1.05784970046472e-20,1.79881695567585,0.305,0.11,1.96241697933211e-16
"2510022D24Rik",1.22120917976832e-20,1.09527895397165,0.406,0.17,2.26546514938821e-16
"Galnt12",1.7730927942465e-20,0.895899634517279,0.507,0.249,3.28926444260669e-16
"Atp6v0b",1.96375676435945e-20,0.942324402969931,0.519,0.27,3.64296517356321e-16
"Tm2d3",2.6831965249133e-20,1.4614968103715,0.285,0.096,4.97759787336666e-16
"Rpn1",3.30387946973553e-20,1.23543473250591,0.372,0.154,6.12902680430638e-16
"Slc38a10",5.03980040667074e-20,1.279047499535,0.356,0.146,9.34933373441489e-16
"Rab27b",5.94387446440562e-20,0.963382060274918,0.432,0.188,1.10264815189189e-15
"Cst3",1.05851643680786e-19,1.36578912515004,0.299,0.108,1.96365384192227e-15
"Mbtps1",1.51807651225666e-19,1.27957813902217,0.327,0.127,2.81618373788733e-15
"Amhr2",1.93965398955134e-19,1.45892286670768,0.354,0.156,3.5982521160167e-15
"Fam3c",2.35119272331421e-19,1.57723329547852,0.253,0.08,4.36169762102019e-15
"Sirpa",3.56010234696796e-19,1.09975372730688,0.392,0.17,6.60434586386026e-15
"Syne2",4.90479274632164e-19,0.992721668983631,0.378,0.158,9.09888102370128e-15
"Mtdh",7.41912779719075e-19,1.01011746402894,0.392,0.171,1.37632239765686e-14
"Clstn1",7.82074665607056e-19,0.899307089710483,0.487,0.239,1.45082671216765e-14
"Mlec",1.10760569534946e-18,1.16993670635642,0.341,0.137,2.05471932544278e-14
"Ank3",1.1356987688922e-18,0.713610496251651,0.578,0.305,2.10683478617193e-14
"Atp9a",1.44774378218279e-18,1.15944051570853,0.36,0.153,2.68570949032729e-14
"Mycbp2",1.51180403682015e-18,1.11231694789599,0.339,0.135,2.80454766870506e-14
"Ebp",1.55698772363042e-18,1.15994047191473,0.313,0.119,2.88836792610679e-14
"Cdk5rap3",1.66531097550821e-18,0.662333088341504,0.507,0.236,3.08931839066528e-14
"mt-Rnr2",1.90624956298269e-18,0.952431675572771,0.99,0.996,3.53628356428918e-14
"Ssr1",2.15011912616055e-18,1.14213879780809,0.321,0.124,3.98868599094045e-14
"Tmf1",3.14604919586698e-18,0.909354487094023,0.495,0.254,5.83623586325283e-14
"Erlec1",3.60633025638292e-18,0.81439125594208,0.388,0.163,6.69010325861595e-14
"Cgref1",3.86345059966275e-18,0.921300084475332,0.602,0.399,7.16708720743436e-14
"Bsg",3.87944383319006e-18,0.87503071905996,0.483,0.241,7.19675625495087e-14
"Hilpda",4.13010182522764e-18,0.984755711067485,0.396,0.176,7.66175189597979e-14
"Mrpl58",4.16288669724646e-18,0.907573233292606,0.374,0.155,7.72257111206191e-14
"Tubb4b",4.8565095251388e-18,0.895449932782893,0.535,0.293,9.00931082008499e-14
"Sh3d19",4.88533982498356e-18,0.848276049608834,0.4,0.174,9.062793909327e-14
"Myo5c",5.9952456380059e-18,0.823028107730614,0.469,0.22,1.11217801830647e-13
"Sorl1",6.18642094890188e-18,1.08765561865178,0.345,0.144,1.14764295023079e-13
"Ctsl",6.44183409415127e-18,1.02294150438652,0.384,0.169,1.195024642806e-13
"Dnm2",1.03591879955806e-17,1.08914571019421,0.299,0.111,1.92173296506016e-13
"Guk1",1.22621925490182e-17,0.757543768430372,0.604,0.373,2.27475933976837e-13
"Akap13",1.29789469553167e-17,0.963725993106281,0.459,0.224,2.4077244496808e-13
"Neu1",1.43558300057129e-17,1.2583018130882,0.287,0.108,2.66315002435981e-13
"Pon2",1.66660892951786e-17,0.920928429008801,0.406,0.184,3.09172622514858e-13
"Tuba4a",1.83614041583902e-17,0.734632079640656,0.404,0.175,3.40622408542297e-13
"Mprip",1.99968704709349e-17,1.19497341845783,0.293,0.111,3.70961944106313e-13
"Emc10",2.13950006744057e-17,1.12068128362732,0.291,0.108,3.96898657510899e-13
"Nfkbia",2.18582317035034e-17,1.31038858230961,0.36,0.163,4.05492056331691e-13
"Glg1",2.42310652897627e-17,1.19120658853491,0.374,0.173,4.49510492190389e-13
"Acly",2.52250063259981e-17,0.796528492533047,0.479,0.241,4.67949092353591e-13
"Smarca5",3.1852464003186e-17,1.21574039596955,0.271,0.096,5.90895059723104e-13
"Rapgef5",3.24532929380242e-17,1.18039083161569,0.329,0.138,6.02041037293286e-13
"Tmco1",3.26634619169552e-17,0.950143728906156,0.378,0.167,6.05939882021436e-13
"Tmem160",3.5003147718901e-17,1.23799076872435,0.285,0.107,6.49343393333333e-13
"Mphosph8",3.70444896117031e-17,1.19408396402714,0.277,0.101,6.87212326786705e-13
"Tbcb",4.67521795863643e-17,1.10696405005221,0.287,0.105,8.67299683506644e-13
"Psmb7",4.92434026314997e-17,1.07545151443237,0.293,0.111,9.13514362216951e-13
"Galnt10",5.29946509354835e-17,0.939146286950026,0.368,0.16,9.83103769504155e-13
"Trim2",6.53307276561259e-17,1.04166252554204,0.364,0.161,1.21195032874879e-12
"Sash1",7.58575572702487e-17,0.998018956034907,0.39,0.182,1.40723354492038e-12
"Klf12",7.93476899563041e-17,0.882158858844226,0.455,0.226,1.4719789963794e-12
"Rab4b",8.09818449887702e-17,1.45780596204705,0.251,0.091,1.50229420638668e-12
"Eif4g1",8.43662204734176e-17,0.902105977073206,0.39,0.178,1.56507775600237e-12
"Kdelr3",8.47117936906308e-17,0.981569780348637,0.438,0.224,1.57148848475489e-12
"Agr2",8.52188246985625e-17,1.14677824924878,0.459,0.247,1.58089441698303e-12
"Gpi1",8.57917354149871e-17,0.992993286237731,0.295,0.111,1.59152248368343e-12
"Hspa4",9.49582063994891e-17,1.24488848907839,0.283,0.108,1.76156968691692e-12
"Ogdh",1.05981952944082e-16,0.932107640412305,0.335,0.139,1.96607120906566e-12
"Erp29",1.09393289259471e-16,0.759334097025368,0.36,0.149,2.02935490905245e-12
"Smim22",1.2611104376757e-16,0.629967115405324,0.592,0.335,2.3394859729322e-12
"Tpr",1.27563480780424e-16,1.01998465852191,0.366,0.164,2.36643013195764e-12
"Tspan3",1.30238894513286e-16,0.972134200339026,0.414,0.202,2.41606173211597e-12
"Rab5c",1.31911822798675e-16,1.07379412041132,0.331,0.139,2.44709622473823e-12
"Borcs5",1.64386116082251e-16,1.18993973100404,0.285,0.109,3.04952683944183e-12
"St13",1.9994672512383e-16,1.16866780227736,0.265,0.096,3.70921169777217e-12
"Nenf",2.30701316491539e-16,0.70230385140645,0.44,0.21,4.27974012223454e-12
"Golgb1",2.51066827326973e-16,0.685577581860721,0.612,0.366,4.65754071374268e-12
"Gclc",2.73663314576461e-16,1.01563161642227,0.291,0.113,5.07672814870793e-12
"Syngr2",2.77732629261208e-16,0.919898300410312,0.432,0.216,5.15221800542467e-12
"Bola2",2.90208409891418e-16,1.03123992347522,0.319,0.13,5.3836562118957e-12
"Tmem97",3.13311722647642e-16,0.985295002721969,0.396,0.192,5.81224576683641e-12
"Prom1",3.23138612892917e-16,0.794886895625169,0.398,0.183,5.99454440777651e-12
"Padi2",3.28623251988642e-16,1.00581732659531,0.372,0.172,6.0962899476413e-12
"Tmem223",3.41634900795785e-16,0.902723833631211,0.384,0.176,6.33766904466261e-12
"Slc44a4",3.4550809544527e-16,1.07140566822289,0.37,0.18,6.4095206786052e-12
"Gns",3.48874556082641e-16,0.968342621176651,0.329,0.138,6.47197188988908e-12
"Pam",3.51164504652639e-16,0.714586028930868,0.568,0.326,6.51445272581111e-12
"Akap9",3.59029299311451e-16,0.724003818999319,0.495,0.254,6.66035253152673e-12
"Mpped2",3.73820482049946e-16,1.18312185840322,0.335,0.147,6.93474376250854e-12
