"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifi27l2a",5.9294757196589e-74,3.03329492509934,0.352,0.068,1.09997704075392e-69
"Gclc",1.63676733590801e-41,2.33325070721492,0.274,0.077,3.03636708484294e-37
"Rhoj",5.63996596018956e-29,1.56429306732531,0.333,0.154,1.04627008527477e-24
"Phlda1",6.0411759171591e-20,0.540364300196906,0.854,0.801,1.12069854439219e-15
"Ubc",4.24238269094132e-19,0.663370394575482,0.675,0.556,7.87004412996524e-15
"Hspa5",8.38811978043824e-19,1.1149328761545,0.458,0.325,1.5560801004691e-14
"Tmsb4x",3.85369764472382e-17,0.560994156885771,0.854,0.786,7.14899450072715e-13
"Pnrc1",1.21878772944721e-16,1.17020345202566,0.259,0.136,2.26097311689752e-12
"Dstn",6.2417785915383e-16,0.714231430918823,0.512,0.373,1.15791234651627e-11
"Actb",6.01958147802658e-15,0.63520045667566,0.63,0.522,1.11669255998871e-10
"Ehf",2.90305483461025e-14,0.957137442516681,0.452,0.317,5.38545702368548e-10
"Cebpd",5.89166809365923e-14,0.981090410908146,0.352,0.232,1.09296334805472e-09
"Nupr1",2.08528129288076e-12,0.465838003112503,0.755,0.675,3.8684053264231e-08
"Ier2",2.5141153303411e-12,0.63646169556732,0.601,0.499,4.66393534931577e-08
"ND1",3.68867561628684e-12,0.779417315074128,0.726,0.668,6.84286213577373e-08
"Krt8",1.05676326190023e-11,0.700821467657998,0.479,0.367,1.96040152715111e-07
"Pde4d",3.29973767851512e-11,0.896597049011895,0.545,0.433,6.12134336741341e-07
"Tcn2",3.36414055687880e-11,0.417192540653815,0.762,0.68,6.24081714706587e-07
"St3gal1",7.80257530103223e-11,0.658679152402215,0.722,0.624,1.44745574409449e-06
"Gm26917",9.0343926725793e-11,0.301294628950415,0.971,0.991,1.67597018469019e-06
"Palmd",1.84166590708415e-10,0.799608918240976,0.307,0.205,3.4164744242318e-06
"Cpd",1.98880451244888e-10,0.674759171071802,0.387,0.274,3.68943125104392e-06
"Rrbp1",2.05123153361249e-10,0.77722322315478,0.444,0.332,3.80523961800453e-06
"Gadd45g",3.03263952729408e-10,0.750498796663446,0.441,0.345,5.62584958708324e-06
"Clec2d",4.22633989286309e-10,0.873151019549301,0.376,0.274,7.84028313525032e-06
"Hspa8",6.14038682902107e-10,0.560146820221332,0.324,0.216,1.1391031606517e-05
"Btg2",7.81923524131252e-10,0.628939590314098,0.648,0.573,1.45054632961589e-05
"Ncald",1.21888750969201e-09,0.600166025939154,0.521,0.42,2.26115821922965e-05
"H2-K1",1.31091500974849e-09,0.667420360798105,0.312,0.211,2.43187843458442e-05
"Tcim",1.524095409455e-09,0.958433567518935,0.294,0.204,2.82734939407998e-05
"Chrm3",1.68949145824174e-09,1.04149538650015,0.35,0.255,3.13417560418425e-05
"Btg1",7.71853888388813e-09,0.829911243836654,0.342,0.248,0.000143186614835009
"Gde1",8.05465859295355e-09,0.484572319758833,0.402,0.296,0.000149421971557881
"Neat1",1.02172641069964e-08,0.942276228668006,0.353,0.256,0.00018954046644889
"Hsp90b1",1.5758359915703e-08,0.758433999261638,0.307,0.218,0.000292333334796207
"Calm2",1.82328743523628e-08,0.541985866275802,0.462,0.361,0.000338238052110682
"COX1",2.43021873467872e-08,0.690553132204171,0.82,0.787,0.00045082987747025
"Ppib",2.59895642307006e-08,0.346270890479845,0.659,0.576,0.000482132406043728
"H2-D1",2.61325181362839e-08,0.610061036307084,0.291,0.2,0.000484784343946203
"Ifi27",2.92971966404264e-08,0.475282491004686,0.4,0.299,0.00054349229487655
"Rpl13a",3.30319584271097e-08,0.690526486930119,0.267,0.181,0.000612775860781313
"Pip",3.35457449475146e-08,0.81746737246089,0.969,0.961,0.000622307114521344
"Cebpb",5.16375172850042e-08,0.683855461660848,0.349,0.262,0.000957927583154113
"mt-Rnr1",5.48474702988736e-08,0.740162175335594,0.476,0.389,0.0010174754215144
"Plet1",5.65361202209401e-08,0.547545845600897,0.462,0.367,0.00104880156621866
"Junb",6.27324057392584e-08,0.544471323681493,0.604,0.54,0.00116374885886898
"Gapdh",8.33584191739897e-08,0.443433624965346,0.499,0.4,0.00154638203409668
"Hsp90ab1",8.59249856756759e-08,0.614563382252942,0.339,0.247,0.00159399440926946
"Wfdc18",9.39991063235367e-08,0.451893307515165,0.987,0.999,0.00174377742140793
"Calr",1.61206376607634e-07,0.757352288922004,0.258,0.179,0.00299053949244822
"CYTB",1.91118548012952e-07,0.610533619917643,0.834,0.795,0.00354544018418827
"Tmbim6",2.90403613193141e-07,0.374571766820542,0.523,0.424,0.00538727742834596
"Wfdc12",3.05440186329069e-07,1.12988878020152,0.352,0.269,0.00566622089659056
"Tacc2",3.07568142639064e-07,0.704310998190651,0.449,0.372,0.00570569661409727
"H2aj",3.10573513993685e-07,0.479931498097557,0.583,0.513,0.00576144925809685
"Reep5",4.98410387883752e-07,0.383282058858034,0.543,0.451,0.00924601110563148
"Cd24a",7.14363520262729e-07,0.360435701734445,0.67,0.592,0.0132521576643939
"Jund",1.02151195163358e-06,0.456591846844632,0.65,0.563,0.0189500682147545
"Eef1a1",1.22703974941938e-06,0.290476052464053,0.937,0.915,0.0227628143914789
"Tpt1",1.34570982108415e-06,0.285301852070506,0.97,0.977,0.0249642628909321
