"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifi27l2a",0,5.54599245885166,0.861,0.068,0
"Rpl41",2.58043402060718e-221,1.35116105666009,0.985,0.941,4.78696315162838e-217
"Rps29",1.04635262703995e-199,1.75978119356199,0.925,0.564,1.94108875842182e-195
"Ifitm3",6.29985851341671e-190,3.8917975178169,0.602,0.071,1.16868675282393e-185
"Id4",6.62561243649388e-176,4.05500560304463,0.553,0.053,1.22911736309398e-171
"Cmss1",1.31244038936497e-172,4.39253373510256,0.575,0.066,2.43470816631096e-168
"Rpl13a",1.27980193877987e-163,2.43031038590552,0.681,0.181,2.37416057663053e-159
"Rps8",6.33729978049089e-153,1.48346277245707,0.885,0.565,1.17563248227886e-148
"Rplp1",1.01868762080898e-148,1.38335850987197,0.959,0.834,1.88976740536274e-144
"B2m",7.16296654221497e-147,5.12019492197868,0.441,0.02,1.3288019232463e-142
"Ly6e",1.12853112370728e-143,2.75408336627757,0.595,0.137,2.09353808758937e-139
"Rps15",1.51314044756249e-142,2.31484105675058,0.648,0.185,2.80702684427317e-138
"Rrbp1",4.88386051250879e-142,2.11319402414996,0.764,0.332,9.06004963675506e-138
"Rpl38",1.63252329565938e-139,1.4988274365774,0.844,0.475,3.02849396577772e-135
"Uba52",3.66372254195216e-134,1.04169294829996,0.968,0.883,6.79657168757545e-130
"Rpl37a",2.11664522664252e-133,1.27513462928298,0.91,0.647,3.92658855994454e-129
"Rps12",1.07169189891609e-130,1.73671582794679,0.739,0.316,1.98809564167923e-126
"Rps21",7.11419597685779e-130,1.41336882543,0.861,0.546,1.31975449566689e-125
"Rpl37",7.27751583813434e-129,1.40198878177649,0.864,0.553,1.3500519631323e-124
"Wfdc18",1.69700251542365e-125,1.54410628421966,0.984,0.999,3.14810936636241e-121
"Rpl35",7.41830099749804e-117,1.16618953654596,0.909,0.711,1.37616901804586e-112
"Hsp90ab1",2.45143647173332e-114,2.01082118351381,0.648,0.247,4.54765979871248e-110
"Rps28",2.96107171078891e-114,1.42022729849768,0.8,0.433,5.4930841306845e-110
"Gm26917",7.44890513079084e-112,1.87149971021457,0.993,0.991,1.38184639081301e-107
"Dstn",1.72449430464984e-111,1.6300383442792,0.749,0.373,3.19910938455591e-107
"Rps14",4.56696817802452e-111,1.09262310029559,0.91,0.717,8.47218266705329e-107
"Ccnd1",2.92978657500206e-110,4.87831668068681,0.358,0.021,5.43504707528633e-106
"H2-K1",3.12320676860146e-109,2.40801943674817,0.591,0.211,5.79386087643258e-105
"Rplp2",1.06490236667294e-107,1.49021536955845,0.741,0.36,1.97550038041497e-103
"Rpl28",3.97833224090641e-106,1.10344000821883,0.901,0.705,7.38020414010549e-102
"Rpl6",1.99363481300771e-105,1.53327771113293,0.73,0.366,3.6983919416106e-101
"Lars2",1.65429273650273e-101,2.85670995058661,0.481,0.102,3.06887845548621e-97
"Rpsa",1.33975980512724e-100,1.36585900722651,0.84,0.594,2.48538841449154e-96
"Rps19",1.12942261078976e-99,1.27830632576618,0.828,0.543,2.09519188527609e-95
"Rpl24",8.42489030469502e-99,1.0368381090325,0.89,0.676,1.56290140042397e-94
"Rpl36",8.44806516215893e-98,1.22238030656868,0.834,0.57,1.5672005682321e-93
"Fau",6.02171610832999e-97,0.991696695378333,0.917,0.801,1.1170885552563e-92
"Rps17",2.81686381355223e-96,1.95267744357627,0.537,0.163,5.22556406052074e-92
"Pde4b",2.1038274036538e-93,3.9894400077106,0.333,0.028,3.90281021651816e-89
"Chrm3",2.3618725899213e-92,2.35201478971159,0.593,0.255,4.381509841563e-88
"Gclc",1.24189545493299e-90,3.10504628554423,0.406,0.077,2.30384025844618e-86
"Rps20",6.85238138217865e-90,0.929945843982328,0.945,0.851,1.27118527020796e-85
"Suco",1.54252319363257e-88,3.36422836588242,0.355,0.049,2.86153477650778e-84
"Actb",5.98837782531124e-87,1.55659139877006,0.765,0.522,1.11090397037349e-82
"Bst2",2.58446877212487e-86,4.45286939833004,0.289,0.016,4.79444801916885e-82
"Rps2",5.59271929660043e-85,0.970469785672634,0.886,0.717,1.03750535671235e-80
"Cdk8",1.33506531984799e-84,3.41377488267673,0.371,0.061,2.47667967485001e-80
"ND1",2.31418232892593e-83,1.76767850725789,0.808,0.668,4.29303963839049e-79
"Rps25",1.21762610268984e-82,1.53646887577346,0.629,0.283,2.25881818309992e-78
"Rpl5",1.58010925069509e-82,1.76916480839518,0.554,0.211,2.93126067096446e-78
"Rpl12",4.19799901562435e-81,1.55831118256995,0.575,0.233,7.78770797388473e-77
"Rps16",7.28638035713845e-81,0.977236968136635,0.862,0.681,1.35169642005275e-76
"Rpl19",1.90635400004316e-78,0.847561168823599,0.916,0.805,3.53647730548006e-74
"Rpl8",6.02850544136452e-77,0.90171218969238,0.906,0.789,1.11834804442753e-72
"Calm1",1.5246906301104e-76,0.935220776880887,0.844,0.68,2.8284535879178e-72
"Camk1d",9.22965961808491e-76,3.77742740630035,0.364,0.073,1.71219415575093e-71
"Rps27l",1.22298799643697e-75,0.955083728948053,0.864,0.701,2.26876503219023e-71
"Dnajc3",5.62205256930014e-75,1.28837045389149,0.745,0.494,1.04294697213087e-70
"Exoc4",1.47639418257968e-74,3.13037342504885,0.325,0.051,2.73885884810357e-70
"H2aj",3.82507849167728e-73,1.12729584128973,0.776,0.513,7.09590310991053e-69
"Rn7sk",6.41313777031535e-73,4.5472542989647,0.324,0.051,1.1897011877712e-68
"Rpl13",1.09629042148831e-72,0.981284496313425,0.846,0.656,2.03372836090297e-68
"Rpl17",2.50305538532892e-71,1.12382493454819,0.753,0.484,4.64341804532367e-67
"Rps9",3.38868592734486e-71,0.978533772755087,0.83,0.641,6.28635126381745e-67
