"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tagln2",1.45925535889491e-22,1.13180797480583,0.483,0.326,2.70706461628594e-18
"Ldha",1.3612329627534e-19,1.15539815701495,0.392,0.237,2.52522326920383e-15
"Dcpp3",2.05406739292629e-17,0.424233277196378,0.684,0.59,3.81050042061756e-13
"Wfdc18",1.90442447954103e-16,1.15055816421837,0.892,0.806,3.53289785199656e-12
"Phlpp1",1.60907099543392e-12,1.09767220632963,0.276,0.158,2.98498760362946e-08
"Guk1",4.32423585449819e-11,0.634961643403352,0.482,0.373,8.0218899336796e-07
"Ppa1",5.3515561130373e-11,0.620178998203179,0.47,0.353,9.9276717452955e-07
"Cycs",1.35037289234214e-10,0.748196994640451,0.44,0.322,2.5050767525839e-06
"Tmsb10",8.77568785126066e-10,0.505144785860769,0.764,0.726,1.62797785328736e-05
"Gpx2",9.20071353257133e-10,0.923378430762661,0.293,0.188,1.70682436742731e-05
"Cdc42",8.97915057643255e-09,0.677928861092603,0.316,0.213,0.0001665722223434
"Serp1",1.23657820376062e-08,0.402195183594165,0.875,0.833,0.000229397622579632
"Nme1",4.84294504554739e-08,0.50405291703352,0.698,0.664,0.000898414735399496
"Ncald",8.07157293891572e-08,0.545993116675402,0.701,0.634,0.00149735749589826
"Mtus1",1.91288937878152e-07,0.826957224507533,0.304,0.217,0.00354860108657759
"Myl12b",3.31818328154933e-07,0.629202461754335,0.263,0.175,0.00615556180560217
"Tle5",4.47099844133244e-07,0.50714749118525,0.513,0.411,0.0082941492085158
"Actg1",7.57855393874471e-07,0.355169312556554,0.981,0.989,0.0140589754117653
"H2bc4",9.54527430122252e-07,0.400530753450742,0.86,0.834,0.0177074383561979
"Gale",1.30386047713112e-06,0.613372471768278,0.312,0.227,0.0241879157112593
"Ran",1.69072876221132e-06,0.665146570400297,0.272,0.19,0.0313647092677822
"Actb",1.75756686973126e-06,0.325979799152591,0.97,0.973,0.0326046230003847
"Prorsd1",1.88045062225778e-06,0.606550672780216,0.264,0.18,0.0348842394935041
