"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cmss1",1.53491216892865e-198,3.37442365933724,0.989,0.682,2.84741556457953e-194
"Gm26917",1.45227952931465e-114,1.87295640086583,1,1,2.69412375483161e-110
"Gm46178",1.8206373419123e-96,3.38724643323134,0.52,0.064,3.37746433298151e-92
"Gm30821",1.51007372379999e-90,4.03221624331677,0.424,0.026,2.80133776502137e-86
"ND3",1.06328202818695e-70,1.48532994291844,0.976,0.933,1.97249449048961e-66
"Rn7sk",1.54680600494874e-67,2.53809146446918,0.602,0.161,2.8694798197804e-63
"Lars2",2.19372365523553e-66,1.47570868504536,0.895,0.656,4.06957675282743e-62
"Camk1d",1.5390835898662e-63,2.60383720679877,0.808,0.585,2.8551539675608e-59
"Cdk8",5.04556926316305e-63,2.16852032909266,0.626,0.225,9.36003554009377e-59
"Exoc4",6.00848584839682e-62,1.98706689267961,0.559,0.173,1.11463420973609e-57
"Npas2",1.73556768005538e-59,4.17407254192427,0.278,0.013,3.21965160327073e-55
"Gm36876",4.64408598535894e-58,3.83011814070691,0.296,0.023,8.61524391143937e-54
"Gm15564",7.96100587224674e-58,2.35104406769999,0.395,0.068,1.47684619936049e-53
"ND1",4.82926119182622e-57,1.2505389872585,0.995,0.996,8.95876243695682e-53
"Bmal1",1.14368977617159e-54,4.52370867578061,0.259,0.013,2.12165890377592e-50
"Ephx1",2.37780733646232e-53,4.46397222387417,0.251,0.012,4.41107038987126e-49
"Ccng1",5.06223571735883e-53,2.76023312856139,0.353,0.06,9.39095347927237e-49
"ND2",2.88180258046747e-52,1.15594715689597,0.997,0.995,5.3460319670252e-48
"Rrbp1",1.06203615667871e-51,1.06760985147385,0.986,0.987,1.97018327425468e-47
"Mtus1",9.40039966674948e-49,1.70263457588597,0.567,0.217,1.7438681421787e-44
"Fndc3b",5.01627237477187e-47,1.40451729219498,0.708,0.383,9.3056868824393e-43
"Macf1",2.08214344193207e-45,1.65654947970314,0.478,0.152,3.86258429912819e-41
"Rpn1",7.74495702925781e-45,1.72658420637833,0.471,0.154,1.43676697849762e-40
"Son",1.04922280160136e-44,1.3790796204228,0.6,0.249,1.94641321925068e-40
"Gphn",2.62393559669395e-43,1.53078007870576,0.611,0.272,4.86766292542695e-39
"Phlpp1",3.5644024379023e-42,1.64547985280131,0.472,0.158,6.61232296255255e-38
"COX3",5.31094586173501e-42,0.962196110614557,0.989,0.996,9.85233566810462e-38
"ND5",9.61423705853083e-42,1.16345180545148,0.974,0.963,1.78353711672805e-37
"Golgb1",8.06244830138407e-41,1.11014630623576,0.687,0.366,1.49566478438976e-36
"Ank3",1.96680529492588e-40,1.17292446007928,0.648,0.305,3.64862050261701e-36
"Myh9",3.04831630643918e-40,1.69648926848759,0.441,0.146,5.65493158007532e-36
"Neat1",6.07617287042437e-40,1.01121242305409,0.955,0.945,1.12719082919242e-35
"Kirrel3os",1.19899356843535e-39,3.15624088159018,0.265,0.043,2.22425296880442e-35
"Malat1",4.66526779132339e-39,1.01922496347421,0.989,0.994,8.65453827968402e-35
"Airn",8.25745048263819e-38,1.33350491469082,0.602,0.282,1.53183963903421e-33
"COX1",3.7256907013679e-37,0.79279542809993,0.988,0.996,6.9115288201076e-33
"Igf1r",1.02750196118366e-36,1.33565470079407,0.552,0.249,1.9061188881918e-32
"Sh3rf2",2.49632437174604e-36,1.44897802311054,0.492,0.198,4.63093134202607e-32
"Eif5b",3.31695832937991e-36,1.33941322990611,0.507,0.203,6.15328939683267e-32
"mt-Rnr1",4.20916721437076e-36,1.31876461063007,0.997,0.996,7.80842609937919e-32
"Nckap5",5.33095490371886e-36,1.04372830893103,0.677,0.357,9.88945444188886e-32
"Nbas",7.31089468133277e-36,1.574942295202,0.429,0.15,1.35624407233404e-31
"Arl4a",2.26655587069943e-35,2.16126074717088,0.314,0.078,4.2046877957345e-31
"Ubr4",3.28308438695316e-35,2.03717145895598,0.308,0.074,6.0904498462368e-31
"Stox2",4.49440706303339e-35,1.17724533382107,0.623,0.304,8.33757454263324e-31
"Galnt10",5.15565361004393e-35,1.41229156267767,0.444,0.16,9.5642530119925e-31
"Nfil3",7.79036053582945e-35,2.3727952769338,0.275,0.058,1.44518978300172e-30
"Golga4",1.39546297373449e-34,1.31332541436969,0.48,0.186,2.58872336257485e-30
"Sash1",1.96466399181245e-34,1.46878242337103,0.463,0.182,3.64464817121127e-30
"Trip11",3.21882278407229e-34,1.34155434253847,0.478,0.192,5.97123814673251e-30
"Pisd-ps3",8.06624149207046e-34,2.46941497481216,0.257,0.05,1.49636845919399e-29
"Prpf4b",1.1965117099742e-33,1.69485722529425,0.385,0.127,2.21964887317313e-29
"Akap13",1.71609274211357e-33,1.11483140476964,0.534,0.224,3.18352364589489e-29
"Mycbp2",2.59620835072698e-33,1.5355882845569,0.397,0.135,4.81622611143362e-29
"Dennd1a",5.12122136811808e-33,1.45033187740482,0.432,0.161,9.50037775999585e-29
"Gm38733",7.45154259282585e-33,1.46340023942029,0.508,0.231,1.38233566639512e-28
"Hk2",1.13973278279871e-32,1.42553491795571,0.457,0.181,2.11431828536988e-28
"Zfp462",1.32606033935017e-32,1.21072390295535,0.487,0.195,2.45997453552849e-28
"Srrm2",1.76238576396631e-32,1.00472446828706,0.594,0.279,3.2694018307339e-28
"Mid1",3.17568882316998e-32,1.73083340924847,0.433,0.177,5.89122033586263e-28
"Gne",5.029409686057e-32,0.860150426760023,0.789,0.554,9.33005790860435e-28
"Dnajc1",8.79424681829838e-32,0.967838451843399,0.642,0.324,1.63142072726253e-27
"Gbf1",1.0218663591147e-31,1.19612107249433,0.463,0.182,1.89566428279368e-27
"Msi2",1.34920578473053e-31,1.10963427909232,0.552,0.249,2.5029116512536e-27
"Sel1l3",3.24471573076758e-31,0.890294042438218,0.741,0.458,6.01927215214693e-27
"Tiam1",4.31452265182712e-31,2.00775305081016,0.322,0.1,8.00387097140448e-27
"Actn4",1.07536073653066e-30,1.50713516873842,0.371,0.128,1.99490170233802e-26
"Atp5me",2.07542798801224e-30,1.10021046076663,0.567,0.282,3.85012646056151e-26
"Adcy2",3.87155736149283e-30,1.70683943987077,0.383,0.146,7.18212606130535e-26
"Elapor1",1.09859302769883e-29,1.10131001670673,0.561,0.279,2.0379999256841e-25
"Meg3",1.22811074948101e-29,1.69491936087757,0.45,0.21,2.27826825136221e-25
"Pip5k1b",1.31787624788228e-29,0.962871069373158,0.65,0.355,2.44479222744641e-25
"Hpse2",4.21505405850117e-29,1.02940837824236,0.6,0.325,7.81934678392553e-25
"ND6",5.99539165199313e-29,1.59260256292329,0.341,0.114,1.11220510536125e-24
"Ptprt",7.52165713070643e-29,1.01456943567614,0.57,0.284,1.39534261431735e-24
"Pdia5",8.95950779776788e-29,1.76046375681556,0.349,0.127,1.66207829156392e-24
"Top1",1.01862821004589e-28,1.28999576517237,0.432,0.174,1.88965719245614e-24
"Akap9",1.37834023176211e-28,0.987315826342703,0.547,0.254,2.55695896394189e-24
"Lrpprc",1.48615061757882e-28,1.59875053842505,0.35,0.122,2.75695801067048e-24
"Eeig1",2.05768524718701e-28,1.39821755105234,0.391,0.148,3.81721190205663e-24
"Cebpz",2.25241453933473e-28,2.03209880304312,0.253,0.061,4.17845421191985e-24
"Snd1",2.89278595674657e-28,1.15312105042887,0.483,0.211,5.36640722836057e-24
"Atp2a3",3.95212270849003e-28,0.7329132488491,0.881,0.811,7.33158283651985e-24
"Brwd1",4.65159371610758e-28,1.56997604230865,0.349,0.122,8.62917150275117e-24
"Myo1e",7.66839015712548e-28,1.43213789073004,0.424,0.175,1.42256305804835e-23
"Atp2a2",8.09846256875172e-28,1.0564778508501,0.498,0.226,1.50234579112913e-23
"Spag9",9.06838885745737e-28,1.18361207018225,0.441,0.182,1.68227681694692e-23
"Nipal2",1.84716920276785e-27,0.989146657858572,0.537,0.259,3.42668358805464e-23
"Nars1",1.8598698320498e-27,1.30344618608038,0.383,0.142,3.45024452543558e-23
"Birc6",2.66623658877378e-27,1.17593751102391,0.442,0.185,4.94613549583425e-23
"Esrrg",2.99073138933368e-27,0.778996799301642,0.947,0.923,5.54810580035291e-23
"Utrn",3.1456562062315e-27,1.21073437331421,0.438,0.18,5.83550682818005e-23
"Prkca",3.45048423004806e-27,1.31764957723072,0.433,0.189,6.40099329516216e-23
