"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl13a",1.5575700007564e-09,1.04085829682115,0.289,0.181,2.8894481084032e-05
"Fth1",1.80231377092059e-09,0.362647330062935,0.928,0.894,3.34347227643478e-05
"Selenok",2.34029634385471e-09,0.497895100333253,0.514,0.374,4.34148374748487e-05
"Rpl21",4.31471671006787e-09,0.492733537272629,0.744,0.656,8.00423096884691e-05
"Atp5f1d",5.41183887805985e-09,0.515030272576598,0.528,0.402,0.000100395023026888
"Sec61b",5.77342615724635e-09,0.282989666120043,0.911,0.836,0.000107102828643077
"H2-D1",8.78339977096261e-09,0.99441695193095,0.305,0.2,0.000162940849151127
"Ptma",1.28990007167618e-08,0.461154468831501,0.731,0.638,0.000239289362296647
"Txn1",1.29213403087753e-08,0.596315349194962,0.373,0.252,0.00023970378406809
"Rpl24",1.57959152996311e-08,0.530906422012997,0.755,0.676,0.000293030024723457
"Krtcap2",1.60580471335923e-08,0.358667712730574,0.659,0.533,0.000297892832375271
"Rpl10a",1.69500458149168e-08,0.502567661295832,0.591,0.476,0.000314440299912521
"Cd63",2.25953047455884e-08,0.453803417138751,0.513,0.385,0.00041916549833541
"Rpl35a",2.73499326963502e-08,0.548608277760576,0.629,0.534,0.000507368601449992
"Rpl18a",3.42849224328917e-08,0.559945019752763,0.696,0.59,0.000636019596052574
"Rpl27a",5.20701527281288e-08,0.531503473022166,0.716,0.624,0.000965953403259517
"Rpl36",6.13268636902531e-08,0.656138671214865,0.639,0.57,0.00113767464831789
"Wfdc18",6.60210966162448e-08,0.535839736456335,0.997,0.999,0.00122475736332796
"Chchd10",8.61141350751783e-08,0.55931757492761,0.522,0.409,0.00159750331977963
"Rps23",9.23753949144346e-08,0.489604626558819,0.782,0.687,0.00171365595105768
"Gm53236",9.26517023894239e-08,1.74019443743589,0.392,0.277,0.0017187817310262
"Bglap3",1.06686792515248e-07,0.481117058143904,0.803,0.724,0.00197914668795037
"Rps13",1.31265196331173e-07,0.510451643119376,0.626,0.527,0.0024351006571396
"Rps14",1.31478982099978e-07,0.453697383754814,0.798,0.717,0.00243906659693669
"Smdt1",1.3596691057319e-07,0.65495434762365,0.397,0.288,0.00252232215804325
"Ehf",2.05060196948599e-07,0.629292989449108,0.43,0.317,0.00380407171359345
"Atp5pd",2.92462408578731e-07,0.409667832125473,0.552,0.448,0.00542547014154403
"Rpl9",2.95107824773336e-07,0.46905704417523,0.869,0.84,0.00547454525737016
"Rpl34",6.67130355613053e-07,0.598272517636447,0.429,0.326,0.0123759352269777
"H13",9.74596721401546e-07,0.569473480604445,0.322,0.22,0.0180797437787201
"Itm2b",1.01063553761808e-06,0.253922361945419,0.862,0.807,0.018748299858353
"Rabac1",1.15420793391183e-06,0.269805872081244,0.687,0.573,0.0214117113819984
"Cope",1.59732275539537e-06,0.42065288595835,0.46,0.352,0.0296319344353394
